ElectionDate	PartyCode	PartyName	RaceCode	RaceName	CountyCode	CountyName	Juris1num	Juris2num	Precincts	PrecinctsReporting	CanNameLast	CanNameFirst	CanNameMiddle	CanVotes
HEY	Democratic Primary	Democratic Primary	140012	Representative in Congress, District 1	12113	Santa Rosa	HEY	HEY	41	41	Zimmerman	Jennifer	HEY	4098
HEY	Democratic Primary	Democratic Primary	140012	Representative in Congress, District 1	12131	Walton	HEY	HEY	21	21	Ehr	Phil	HEY	754
HEY	Democratic Primary	Democratic Primary	140012	Representative in Congress, District 1	12131	Walton	HEY	HEY	21	21	Zimmerman	Jennifer	HEY	1323
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12005	Bay	HEY	HEY	44	44	Peters	Brandon	HEY	4548
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12005	Bay	HEY	HEY	44	44	Rackleff	Bob	HEY	2956
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12013	Calhoun	HEY	HEY	11	11	Peters	Brandon	HEY	601
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12013	Calhoun	HEY	HEY	11	11	Rackleff	Bob	HEY	520
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12023	Columbia	HEY	HEY	19	19	Peters	Brandon	HEY	2242
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12023	Columbia	HEY	HEY	19	19	Rackleff	Bob	HEY	1001
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12029	Dixie	HEY	HEY	10	10	Peters	Brandon	HEY	540
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12029	Dixie	HEY	HEY	10	10	Rackleff	Bob	HEY	287
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12037	Franklin	HEY	HEY	8	8	Peters	Brandon	HEY	1159
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12037	Franklin	HEY	HEY	8	8	Rackleff	Bob	HEY	672
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12041	Gilchrist	HEY	HEY	10	10	Peters	Brandon	HEY	475
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12041	Gilchrist	HEY	HEY	10	10	Rackleff	Bob	HEY	267
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12045	Gulf	HEY	HEY	10	10	Peters	Brandon	HEY	670
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12045	Gulf	HEY	HEY	10	10	Rackleff	Bob	HEY	413
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12059	Holmes	HEY	HEY	3	3	Peters	Brandon	HEY	224
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12059	Holmes	HEY	HEY	3	3	Rackleff	Bob	HEY	112
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12063	Jackson	HEY	HEY	14	14	Peters	Brandon	HEY	2692
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12063	Jackson	HEY	HEY	14	14	Rackleff	Bob	HEY	1699
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12065	Jefferson	HEY	HEY	3	3	Peters	Brandon	HEY	76
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12065	Jefferson	HEY	HEY	3	3	Rackleff	Bob	HEY	117
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12067	Lafayette	HEY	HEY	5	5	Peters	Brandon	HEY	344
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12067	Lafayette	HEY	HEY	5	5	Rackleff	Bob	HEY	158
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12073	Leon	HEY	HEY	66	66	Peters	Brandon	HEY	5788
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12073	Leon	HEY	HEY	66	66	Rackleff	Bob	HEY	14156
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12075	Levy	HEY	HEY	13	13	Peters	Brandon	HEY	1673
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12075	Levy	HEY	HEY	13	13	Rackleff	Bob	HEY	790
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12077	Liberty	HEY	HEY	8	0	Peters	Brandon	HEY	761
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12077	Liberty	HEY	HEY	8	0	Rackleff	Bob	HEY	625
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12083	Marion	HEY	HEY	21	21	Peters	Brandon	HEY	2240
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12083	Marion	HEY	HEY	21	21	Rackleff	Bob	HEY	1452
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12121	Suwannee	HEY	HEY	16	16	Peters	Brandon	HEY	1476
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12121	Suwannee	HEY	HEY	16	16	Rackleff	Bob	HEY	827
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12123	Taylor	HEY	HEY	14	14	Peters	Brandon	HEY	837
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12123	Taylor	HEY	HEY	14	14	Rackleff	Bob	HEY	990
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12129	Wakulla	HEY	HEY	12	12	Peters	Brandon	HEY	1240
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12129	Wakulla	HEY	HEY	12	12	Rackleff	Bob	HEY	1788
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12133	Washington	HEY	HEY	12	12	Peters	Brandon	HEY	767
HEY	Democratic Primary	Democratic Primary	140022	Representative in Congress, District 2	12133	Washington	HEY	HEY	12	12	Rackleff	Bob	HEY	494
HEY	Republican Primary	Republican Primary	140031	Representative in Congress, District 3	12001	Alachua	HEY	HEY	63	63	Sapp	Judson	HEY	2702
HEY	Republican Primary	Republican Primary	140031	Representative in Congress, District 3	12001	Alachua	HEY	HEY	63	63	Yoho	Ted	HEY	12309
HEY	Republican Primary	Republican Primary	140031	Representative in Congress, District 3	12007	Bradford	HEY	HEY	14	14	Sapp	Judson	HEY	674
HEY	Republican Primary	Republican Primary	140031	Representative in Congress, District 3	12007	Bradford	HEY	HEY	14	14	Yoho	Ted	HEY	2781
HEY	Republican Primary	Republican Primary	140031	Representative in Congress, District 3	12019	Clay	HEY	HEY	47	47	Sapp	Judson	HEY	7395
HEY	Republican Primary	Republican Primary	140031	Representative in Congress, District 3	12019	Clay	HEY	HEY	47	47	Yoho	Ted	HEY	21196
HEY	Republican Primary	Republican Primary	140031	Representative in Congress, District 3	12083	Marion	HEY	HEY	51	51	Sapp	Judson	HEY	4552
HEY	Republican Primary	Republican Primary	140031	Representative in Congress, District 3	12083	Marion	HEY	HEY	51	51	Yoho	Ted	HEY	11479
